film_title,category_name,rental_count
Juggler Hardly,Animation,32
Scalawag Duck,Music,32
Robbers Joon,Children,31
Network Peak,Family,31
Apache Divine,Family,31
Timberland Sky,Classics,31
Zorro Ark,Comedy,31
Rush Goodfellas,Family,31
Frost Head,Classics,30
Cat Coneheads,Comedy,30
Idols Snatchers,Children,30
Dogma Family,Animation,30
Enemy Odds,Music,29
Deer Virginian,Music,29
Confidential Interview,Music,29
Boogie Amelie,Music,29
Sweethearts Suspects,Children,29
Greatest North,Music,29
Storm Happiness,Animation,29
Gilmore Boiled,Classics,28
Closer Bang,Comedy,28
Voyage Legally,Classics,28
Giant Troopers,Children,28
Detective Vision,Classics,27
Blackout Private,Animation,27
Dorado Notting,Music,27
Range Moonwalker,Family,27
Movie Shakespeare,Family,27
Forrester Comancheros,Animation,27
Gangs Pride,Animation,27
Operation Operation,Comedy,27
Telegraph Voyage,Music,27
Loathing Legally,Classics,27
Invasion Cyclone,Children,27
Island Exorcist,Classics,26
Velvet Terminator,Comedy,26
Alaska Phantom,Music,26
Malkovich Pet,Classics,26
Hyde Doctor,Classics,26
Tracy Cider,Animation,26
Half Outfield,Family,26
Westward Seabiscuit,Classics,26
Clash Freddy,Animation,25
Telemark Heartbreakers,Animation,25
Downhill Enough,Comedy,25
Feud Frogmen,Family,25
Tomorrow Hustler,Classics,25
Oscar Gold,Animation,25
Effect Gladiator,Family,25
Mallrats United,Comedy,25
Dynamite Tarzan,Classics,25
Double Wrath,Animation,25
Shepherd Midsummer,Children,25
Jason Trap,Family,24
Horn Working,Animation,24
Oz Liaisons,Animation,24
Sunrise League,Animation,24
Fargo Gandhi,Children,24
Jumping Wrath,Children,24
Strangelove Desire,Children,24
Bound Cheaper,Classics,24
Center Dinosaur,Classics,24
Color Philadelphia,Classics,24
Caper Motions,Comedy,24
Gunfight Moon,Comedy,24
Hurricane Affair,Comedy,24
Knock Warlock,Comedy,24
Atlantis Cause,Family,24
Slums Duck,Family,24
Roman Punk,Music,24
Murder Antitrust,Children,23
Balloon Homeward,Music,23
Snowman Rollercoaster,Animation,23
House Dynamite,Family,23
Titanic Boondock,Animation,23
Steel Santa,Classics,23
Strictly Scarface,Comedy,23
Crooked Frogmen,Children,23
Borrowers Bedazzled,Animation,22
Falcon Volume,Animation,22
Bear Graceland,Children,22
Alter Victory,Animation,22
Packer Madigan,Animation,22
Snatch Slipper,Comedy,22
Fight Jawbreaker,Animation,22
Hustler Party,Comedy,22
Banger Pinocchio,Music,22
Homicide Peach,Family,22
Grease Youth,Family,21
Anaconda Confessions,Animation,21
Dracula Crystal,Classics,21
Empire Malkovich,Children,21
Blues Instinct,Family,21
Fireball Philadelphia,Comedy,21
Driving Polish,Music,21
Doom Dancing,Comedy,21
Crossroads Casualties,Animation,21
Sabrina Midnight,Children,21
Splendor Patton,Children,21
Resurrection Silverado,Family,21
Christmas Moonshine,Children,21
Ghost Groundhog,Children,21
Wait Cider,Animation,21
Arizona Bang,Classics,21
Sleepless Monsoon,Animation,20
Chocolat Harry,Family,20
Secrets Paradise,Family,20
Flying Hook,Animation,20
Room Roman,Animation,20
Dinosaur Secretary,Family,20
Outfield Massacre,Music,20
Tramp Others,Comedy,20
Chasing Fight,Family,20
Bringing Hysterical,Comedy,20
Wrong Behavior,Children,20
Million Ace,Classics,20
Prejudice Oleander,Classics,20
Harper Dying,Animation,20
Pinocchio Simon,Comedy,20
Masked Bubble,Music,20
Go Purple,Music,20
Heartbreakers Bright,Children,20
Insider Arizona,Music,20
Jerk Paycheck,Classics,20
Fury Murder,Children,19
Requiem Tycoon,Classics,19
Patient Sister,Classics,19
Gorgeous Bingo,Children,19
Backlash Undefeated,Children,19
Canyon Stock,Animation,19
Club Graffiti,Animation,19
Clones Pinocchio,Music,19
Sundance Invasion,Children,19
Rage Games,Family,19
Doors President,Animation,19
Music Boondock,Family,19
Jedi Beneath,Family,19
Gables Metropolis,Family,19
Earring Instinct,Family,19
Pond Seattle,Animation,19
Thief Pelican,Animation,19
Hope Tootsie,Classics,18
Core Suit,Classics,18
Candidate Perdition,Classics,18
Remember Diary,Family,18
Sweden Shining,Comedy,18
Scarface Bang,Children,18
Polish Brooklyn,Children,18
Alone Trip,Music,18
Heaven Freedom,Comedy,18
Carol Texas,Animation,18
Mission Zoolander,Animation,18
Paradise Sabrina,Comedy,18
Inch Jet,Animation,18
Lion Uncut,Comedy,18
Wonka Sea,Animation,18
Insects Stone,Animation,18
Groundhog Uncut,Comedy,18
Vanishing Rocky,Music,18
Galaxy Sweethearts,Classics,18
Lawless Vision,Animation,17
Sugar Wonka,Animation,17
Holocaust Highball,Children,17
Bikini Borrowers,Animation,17
Noon Papi,Children,17
Zoolander Fiction,Children,17
Taxi Kick,Music,17
Potter Connecticut,Animation,17
League Hellfighters,Classics,17
Musketeers Wait,Classics,17
Roots Remember,Classics,17
Intentions Empire,Animation,17
Dying Maker,Comedy,17
Ferris Mother,Comedy,17
Flintstones Happiness,Comedy,17
Perfect Groove,Comedy,17
Confused Candles,Family,17
Conversation Downhill,Family,17
Gandhi Kwai,Family,17
Louisiana Harry,Family,17
Freaky Pocus,Music,17
Hanover Galaxy,Music,17
Hall Cassidy,Children,16
Silence Kane,Music,16
Baked Cleopatra,Family,16
Graduate Lord,Children,16
Indian Love,Family,16
Pure Runner,Comedy,16
Wizard Coldblooded,Music,16
Words Hunter,Music,16
Summer Scarface,Classics,16
Jeepers Wedding,Classics,16
Watch Tracy,Animation,16
Pride Alamo,Animation,16
Willow Tracy,Family,16
Pilot Hoosiers,Family,16
Model Fish,Children,15
Wasteland Divine,Classics,15
Cabin Flash,Children,15
Sons Interview,Animation,15
Labyrinth League,Children,15
Circus Youth,Children,15
Airplane Sierra,Comedy,15
Tootsie Pilot,Children,15
Odds Boogie,Family,15
Lonely Elephant,Comedy,15
Siege Madre,Family,15
Manchurian Curtain,Family,15
Betrayed Rear,Children,15
Monster Spartacus,Music,15
Hunting Musketeers,Family,15
Anthem Luke,Comedy,15
Submarine Bed,Comedy,15
Nash Chocolat,Animation,15
Valley Packer,Comedy,15
Jaws Harry,Comedy,14
Virtual Spoilers,Family,14
Saddle Antitrust,Comedy,14
Pajama Jawbreaker,Classics,14
Searchers Wait,Comedy,14
Personal Ladybugs,Music,14
Creepers Kane,Classics,14
Gold River,Comedy,14
Splash Gump,Family,14
Donnie Alley,Animation,14
Lovely Jingle,Classics,14
Turn Star,Animation,14
Home Pity,Music,14
Uncut Suicides,Music,14
Forever Candidate,Children,13
Opposite Necklace,Family,13
Robbery Bright,Family,13
Daddy Pittsburgh,Comedy,13
Memento Zoolander,Comedy,13
Mulan Moon,Comedy,13
Spiking Element,Classics,13
Hook Chariots,Animation,13
Party Knock,Comedy,13
Lucky Flying,Music,13
Saturn Name,Comedy,13
Jingle Sagebrush,Classics,13
Hollywood Anonymous,Children,13
Bedazzled Married,Family,13
Bilko Anonymous,Family,13
Champion Flatliners,Animation,13
Chisum Behavior,Family,13
Date Speed,Family,13
Chamber Italian,Music,13
Microcosmos Paradise,Children,13
Super Wyoming,Family,13
Spinal Rocky,Family,13
Natural Stock,Family,13
Uptown Young,Children,12
Minority Kiss,Music,12
Massage Image,Animation,12
Finding Anaconda,Family,12
Pittsburgh Hunchback,Family,12
Hedwig Alter,Comedy,12
African Egg,Family,12
Blanket Beverly,Family,12
Towers Hurricane,Classics,11
Stranger Strangers,Children,11
Language Cowboy,Children,11
Potluck Mixed,Animation,11
Santa Paris,Children,11
Theory Mermaid,Animation,11
Prix Undefeated,Family,11
Birch Antitrust,Music,11
Song Hedwig,Music,11
Beast Hunchback,Classics,11
Iron Moon,Classics,11
Trainspotting Strangers,Comedy,11
Twisted Pirates,Children,11
October Submarine,Classics,11
Ties Hunger,Children,11
Life Twisted,Comedy,10
Element Freddy,Comedy,10
Right Cranes,Classics,10
Lover Truman,Classics,10
Mystic Truman,Comedy,10
Stage World,Comedy,10
Jeopardy Encino,Classics,10
Blood Argonauts,Family,10
Clockwork Paradise,Children,10
Beneath Rush,Children,10
Lolita World,Family,10
Sensibility Rear,Family,10
Amelie Hellfighters,Music,10
Maker Gables,Children,10
Jawbreaker Brooklyn,Music,10
Oleander Clue,Music,10
Impact Aladdin,Music,9
Reds Pocus,Music,9
Crazy Home,Comedy,9
Miracle Virtual,Animation,9
Daughter Madigan,Children,9
Birdcage Casper,Music,9
King Evolution,Family,9
Legally Secretary,Children,9
Spartacus Cheaper,Family,9
Gilbert Pelican,Classics,9
Maguire Apache,Family,9
Won Dares,Music,9
Holy Tadpole,Classics,9
Ghostbusters Elf,Animation,9
Wisdom Worker,Comedy,9
Legend Jedi,Music,9
Dares Pluto,Animation,9
Snatchers Montezuma,Classics,9
Rebel Airport,Music,8
Vertigo Northwest,Comedy,8
Magnificent Chitty,Classics,8
Lights Deer,Classics,8
Runner Madigan,Music,8
Grosse Wonderful,Music,8
Punk Divorce,Animation,8
Soup Wisdom,Family,8
Casper Dragonfly,Children,8
Desire Alien,Animation,8
Sunset Racer,Family,8
Doctor Grail,Children,7
Clue Grail,Music,7
Cruelty Unforgiven,Classics,7
Luke Mummy,Animation,7
Heavenly Gun,Music,7
President Bang,Family,7
Ishtar Rocketeer,Animation,7
Control Anthem,Comedy,7
Elf Murder,Music,7
Bang Kwai,Family,7
Menagerie Rushmore,Animation,7
Connection Microcosmos,Comedy,7
Magic Mallrats,Children,7
Early Home,Animation,7
Tequila Past,Children,6
Duck Racer,Animation,6
Killer Innocent,Family,6
Warlock Werewolf,Children,6
Terminator Club,Music,6
Dumbo Lust,Family,6
Extraordinary Conquerer,Classics,6
Jersey Sassy,Children,6
Rushmore Mermaid,Comedy,6
Comancheros Enemy,Children,6
Youth Kick,Music,6
Sling Luke,Classics,6
Freedom Cleopatra,Comedy,5
Full Flatliners,Children,5
Braveheart Human,Family,5
Conspiracy Spirit,Classics,5
